,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR188,0.0,24.279,22.883,21.993,21.81,34.783,25.163,25.163,23.059,22.603,24.747,23.441,24.027,22.654,14.354,23.341,22.43,24.535,22.603,23.963,23.973,22.603,33.784,23.744,23.516,23.516,23.516,6.771,13.882,14.286,7.222,15.059,12.687,16.706,15.274,13.604,12.888,13.033,10.031,12.559,12.559,13.27,13.27,13.682,13.682,13.507,11.138,13.27,13.507,7.006,17.711,17.711,17.003,17.906,16.804,15.978,15.978,16.981,16.216,16.484,12.912,16.758,17.033,14.796,15.051,7.046,0.0,18.956,17.033,18.378,27.014,17.027,17.568,5.512,18.108,18.108,15.207,19.231,15.676,18.378,16.59,7.087,17.568,8.511,18.809,18.649,20.979,21.429,23.571,23.333,23.185,22.912,23.923,22.727,25.862,23.981,23.15,22.912,21.241,22.222,22.222,22.878,19.355,22.33,22.488,22.256,20.789,20.141,18.717,23.753,25.298,28.947,24.703,23.294,15.607,17.619,22.619,21.984,20.853,22.038,23.25,34.167,21.667,21.412,22.381,23.571,22.454,21.659,21.429,21.401,25.163,25.49,23.041,23.502,19.522,19.522,25.476,26.429,21.86,22.086,22.069,21.769,43.299,22.35,20.0,26.118,28.426,23.653,22.581,22.0,26.455,23.684,31.387,23.207,20.313,24.0,23.982,24.208,24.92,28.161,28.161,22.172,20.354,31.973,22.851,32.192,19.512,23.182,58.947,82.143,,73.095,69.794,61.356,62.381,50.816,50.0,25.301,25.118,25.296,24.879,24.94,26.852,25.693,29.682,36.434,26.406,27.139,29.584,26.406,27.384,31.599
OR183,0.0,26.79,25.771,21.498,23.438,33.696,28.483,28.483,25.714,24.176,29.302,25.837,25.551,24.67,15.862,23.789,22.921,26.923,25.275,26.608,26.374,25.055,33.784,25.934,25.934,25.934,25.934,14.354,18.1,18.078,18.782,18.552,18.596,20.362,18.349,16.055,15.596,15.718,13.988,15.262,15.262,17.084,17.084,15.632,15.632,17.084,14.884,17.54,17.54,6.222,14.943,14.943,14.94,15.545,14.849,14.849,14.849,14.579,15.068,15.278,11.574,14.12,14.352,13.261,13.696,5.631,0.0,16.435,15.278,14.84,28.929,14.155,14.612,4.103,15.297,15.297,11.93,15.509,12.329,14.384,11.228,5.128,15.068,7.177,15.245,16.667,25.157,24.256,25.172,28.604,26.802,25.799,27.918,27.46,35.233,27.126,26.087,25.629,23.799,27.66,28.085,27.241,25.847,23.624,25.629,25.937,24.311,24.439,22.901,28.311,28.211,35.714,26.879,27.46,19.78,21.51,27.46,26.923,24.601,25.968,23.918,34.884,25.858,25.566,25.858,25.629,25.624,26.682,26.233,23.552,28.616,28.302,26.164,26.829,23.658,23.658,29.157,30.752,25.727,26.21,24.781,24.459,43.299,24.283,22.551,26.577,32.87,24.215,26.426,26.226,34.762,25.227,40.288,25.625,22.963,26.539,27.43,26.782,29.641,34.359,34.359,23.974,21.944,44.966,26.782,45.27,20.462,22.727,82.456,87.619,73.095,,95.652,76.174,75.238,64.569,40.0,29.195,29.263,30.575,30.047,30.023,30.337,27.885,35.762,46.512,30.14,31.542,33.178,31.308,32.009,38.194
OR184,0.0,26.292,25.322,21.003,23.043,33.696,28.483,28.483,25.268,23.769,29.302,25.349,25.107,24.249,15.265,23.391,22.078,26.923,24.839,26.134,25.91,24.625,33.784,25.482,25.482,25.482,25.482,14.354,17.841,17.817,18.782,18.282,18.596,20.044,18.08,15.848,15.402,15.521,13.988,15.078,15.078,16.851,16.851,15.436,15.436,16.851,14.318,17.295,17.295,6.222,14.541,14.541,14.72,15.315,14.64,14.64,14.64,14.381,14.634,15.056,11.461,14.157,14.382,13.108,13.531,5.689,0.0,16.18,15.056,14.412,28.097,13.969,14.191,4.103,14.856,14.856,11.93,15.281,11.973,13.969,11.228,5.128,14.634,7.177,14.75,16.186,25.157,23.608,24.499,28.062,26.096,25.111,27.171,26.726,35.233,26.398,25.39,24.944,23.163,27.66,28.085,27.241,25.847,22.991,24.944,25.937,23.601,23.799,22.222,27.556,27.455,35.714,26.608,26.949,19.149,20.935,26.726,26.368,23.947,25.277,23.282,34.884,25.167,24.89,25.167,24.944,25.166,26.638,26.201,23.396,28.616,28.302,25.486,26.134,23.107,23.107,28.825,30.155,25.0,25.787,24.359,24.051,43.299,23.871,21.711,26.096,32.87,23.799,26.426,25.78,34.762,25.0,40.288,25.203,22.542,26.087,26.947,26.316,29.641,34.359,34.359,23.368,21.944,44.966,26.316,45.27,19.683,21.552,82.456,83.753,69.794,95.652,,76.174,71.854,62.332,40.0,28.635,28.7,29.978,29.452,29.438,29.54,27.103,35.762,46.512,29.318,30.682,32.5,30.455,31.136,38.194
OR187,0.0,27.586,28.247,22.561,23.279,35.87,27.541,27.541,27.541,27.213,31.604,27.869,27.213,25.902,21.667,27.213,27.213,27.562,27.213,28.197,28.197,27.213,33.784,28.197,27.869,27.869,27.869,14.563,16.225,16.556,19.072,16.556,17.73,18.543,14.901,13.907,13.576,16.225,13.712,14.238,14.238,15.563,15.563,13.758,13.758,15.894,15.894,15.563,16.556,6.306,11.074,11.074,10.067,12.416,9.732,11.074,11.074,10.738,10.067,11.074,7.095,11.074,11.409,10.403,11.409,0.0,0.0,11.074,10.738,11.745,33.333,11.074,10.067,3.646,10.738,10.738,11.702,11.409,9.091,12.081,11.702,5.729,11.409,6.796,12.752,11.745,27.564,25.743,28.053,30.363,29.373,26.403,28.383,27.393,32.632,29.568,30.033,28.053,26.073,26.293,26.293,28.223,25.322,27.815,28.146,27.815,28.808,28.477,25.483,28.947,30.033,35.065,29.043,28.477,23.009,25.503,31.667,31.667,27.815,29.801,27.152,37.209,32.333,31.803,31.667,31.667,30.421,30.421,30.097,28.532,28.889,30.159,28.664,28.664,25.203,25.203,33.115,34.754,30.921,27.298,26.144,26.144,44.33,27.451,27.451,29.276,36.62,29.085,26.384,31.579,32.85,29.773,39.568,29.787,26.8,32.143,32.143,31.494,31.818,36.458,36.458,28.896,24.09,42.953,32.468,44.595,21.118,17.857,76.14,78.523,61.356,76.174,76.174,,76.351,73.986,30.0,31.803,31.579,33.77,33.108,32.343,32.013,30.897,36.12,46.512,34.667,34.333,34.333,36.333,36.333,38.246
OR181,0.0,24.48,25.991,20.521,21.652,35.87,27.554,27.554,25.275,23.077,30.698,24.88,24.89,23.789,16.628,23.348,22.697,27.622,24.396,25.499,24.615,23.956,35.135,25.495,25.495,25.495,25.495,14.354,17.873,16.705,18.782,17.421,18.246,17.873,16.972,15.826,14.679,15.945,14.881,16.401,16.401,16.173,16.173,14.483,14.483,15.945,13.953,17.084,17.995,7.111,15.172,15.172,13.253,13.457,12.761,12.993,12.993,13.895,13.47,14.815,12.558,14.352,14.583,13.203,13.42,5.656,0.0,15.972,15.741,14.612,29.613,13.927,14.155,4.615,14.612,14.612,12.281,15.046,12.586,15.068,13.333,5.641,15.068,7.656,13.695,16.21,27.673,24.485,24.943,26.087,24.324,22.831,24.485,23.57,33.679,24.138,23.799,22.883,21.968,26.809,26.809,25.862,25.424,22.936,23.57,25.072,24.561,22.87,21.628,26.941,26.606,37.662,25.513,26.087,17.68,20.0,23.799,23.846,22.096,23.462,21.185,34.109,23.57,23.303,24.714,24.027,25.397,23.991,24.664,24.231,31.132,31.132,25.942,26.164,24.254,24.254,29.385,29.613,26.622,25.605,26.316,25.974,44.33,22.296,20.957,26.802,34.259,25.561,24.625,26.539,34.762,25.0,38.849,26.458,22.963,26.427,26.782,26.566,29.641,36.41,36.41,25.486,22.222,38.926,25.27,40.541,21.122,18.636,74.035,75.952,62.381,75.238,71.854,76.351,,65.734,40.0,28.736,30.184,30.805,30.282,28.868,29.888,28.846,34.106,42.636,28.972,29.439,31.542,30.374,30.607,36.806
OR185,28.0,23.326,22.815,21.498,17.271,17.647,20.971,19.383,19.316,17.607,19.71,19.343,18.664,17.808,13.538,19.007,18.389,20.192,20.0,19.277,19.829,18.632,14.706,21.026,20.684,20.513,19.795,17.729,18.013,18.855,18.911,17.677,19.451,19.024,17.657,16.299,16.129,17.568,16.973,15.571,15.598,16.413,15.251,16.724,16.578,16.291,16.928,16.92,16.92,12.919,15.446,14.797,15.246,16.186,15.84,15.865,13.162,15.531,16.64,12.27,9.774,16.026,12.014,15.639,16.134,9.585,36.364,16.667,16.346,17.572,26.267,16.454,16.294,13.918,16.134,16.212,16.527,16.29,15.68,16.933,16.736,14.691,17.891,15.174,17.414,17.591,28.302,23.448,21.839,24.429,23.146,20.181,22.273,21.818,28.571,22.759,22.883,21.51,20.366,22.128,22.128,26.102,23.651,22.936,21.968,24.207,23.058,20.852,21.883,23.973,24.083,32.468,22.551,25.172,21.389,22.273,23.963,24.359,22.759,23.218,20.92,28.682,23.272,23.007,24.885,24.194,24.711,25.342,24.829,22.348,25.786,25.472,24.39,24.169,24.851,24.851,25.814,27.209,22.819,22.555,23.632,23.326,39.796,21.413,21.163,24.045,30.876,24.385,24.324,24.774,28.571,22.831,31.915,22.177,20.0,21.766,23.142,21.702,24.702,27.919,27.919,23.992,20.776,33.333,21.322,34.228,21.452,17.778,69.825,63.636,50.816,64.569,62.332,73.986,65.734,,59.551,22.783,26.126,26.292,26.995,26.728,27.803,26.506,31.126,37.984,26.869,27.103,28.738,27.336,27.336,31.597
OR189,33.594,0.0,25.847,0.0,3.933,3.977,3.955,0.562,3.39,3.39,3.39,3.39,3.39,3.39,3.955,3.955,3.955,3.955,3.955,3.39,3.39,3.39,3.955,3.955,3.955,3.39,0.562,24.719,25.281,23.034,21.348,19.663,21.348,22.472,24.022,24.022,23.464,25.698,26.257,20.606,20.732,22.472,18.902,20.787,16.854,20.122,23.596,23.034,22.472,22.381,22.381,20.305,22.17,25.714,26.54,25.714,18.182,22.967,21.429,0.0,8.621,26.794,6.875,25.359,26.316,25.871,44.118,24.88,26.316,30.476,26.84,30.952,29.048,30.952,30.952,31.401,29.524,27.619,30.0,30.0,30.0,30.0,30.952,30.0,28.571,31.905,0.0,30.0,40.0,45.455,45.455,38.462,30.769,38.462,38.462,25.0,30.0,20.0,20.0,11.111,11.111,20.0,20.0,11.111,11.111,11.111,11.111,11.111,0.0,40.0,40.0,40.0,60.0,66.667,0.0,27.778,20.0,20.0,11.111,30.0,30.0,20.0,20.0,20.0,30.0,30.0,11.111,36.364,33.333,38.462,22.222,22.222,33.333,33.333,22.222,22.222,20.0,20.0,33.333,40.0,27.273,27.273,27.273,20.0,20.0,27.273,27.273,27.273,33.333,30.0,30.0,41.667,41.667,25.0,0.0,27.273,15.385,16.667,16.667,16.667,16.667,15.385,27.273,27.273,27.273,27.273,0.0,0.0,30.0,50.0,50.0,40.0,40.0,30.0,40.0,59.551,,21.705,20.0,15.0,0.0,36.364,36.364,16.667,30.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0
OR101,43.75,37.337,31.194,35.019,19.201,9.402,17.169,15.789,19.484,19.484,14.757,19.629,20.129,18.968,12.746,19.613,18.158,16.038,19.355,19.871,19.742,19.484,7.539,19.355,19.226,19.355,18.428,15.762,19.664,18.912,14.669,20.31,17.767,21.345,20.026,20.672,20.413,21.705,16.887,20.0,20.026,20.828,20.158,20.44,18.758,20.817,19.896,20.699,20.44,16.244,20.645,19.816,19.477,21.576,21.935,21.705,19.251,21.475,20.801,15.252,14.583,21.189,16.276,20.801,20.93,15.02,60.784,23.514,22.739,21.835,31.742,21.964,21.964,17.647,22.351,22.222,20.156,22.093,19.509,21.835,20.0,17.825,21.447,17.913,22.993,22.997,40.152,35.443,33.165,36.181,35.93,32.08,31.83,30.576,37.778,32.995,33.333,33.838,30.808,34.404,34.404,34.328,33.929,32.398,33.924,34.405,33.24,32.911,33.333,34.925,36.041,36.129,34.596,36.908,27.492,27.25,31.034,31.389,29.412,29.902,27.451,31.579,29.557,29.197,30.296,29.31,27.885,28.162,29.048,24.948,27.946,28.62,29.929,29.454,24.131,24.131,29.28,30.521,28.04,25.42,31.296,30.843,41.414,34.069,29.208,33.741,41.294,33.007,30.233,30.958,39.583,28.747,34.507,27.293,32.768,30.048,34.375,35.422,33.115,36.872,36.872,30.935,26.409,38.411,31.807,39.333,39.676,32.24,29.553,29.425,25.301,29.195,28.635,31.803,28.736,22.783,21.705,,62.121,60.859,63.926,46.134,43.077,34.946,39.194,43.609,36.719,36.719,37.24,39.844,38.021,41.313
OR99,0.0,34.367,33.012,33.333,31.841,36.957,33.677,33.677,35.323,32.836,37.255,33.596,35.075,33.085,22.938,34.826,32.915,35.741,32.09,33.333,33.582,32.836,36.486,35.572,35.323,35.323,35.323,20.603,25.75,24.311,19.786,28.25,22.053,27.25,24.75,24.5,25.25,28.5,23.127,27.75,27.75,27.0,27.0,26.25,26.25,27.0,23.737,26.5,26.25,7.306,20.398,20.398,20.0,20.698,21.446,19.95,19.95,19.95,21.446,19.403,15.776,18.657,18.905,18.905,18.905,8.226,0.0,21.144,19.9,21.696,36.341,22.693,20.449,3.704,20.698,20.698,14.981,21.945,17.207,21.197,11.985,4.233,21.197,5.419,18.508,19.451,33.088,36.181,35.176,35.411,35.411,29.851,30.597,29.353,35.326,32.997,31.579,33.333,30.827,31.081,31.081,28.782,28.509,29.397,31.658,30.573,30.471,29.648,29.577,39.152,36.02,38.312,36.341,36.842,27.246,26.119,28.362,26.722,28.467,28.954,26.277,32.576,28.851,28.502,27.873,28.117,28.916,27.033,29.356,25.47,31.186,30.847,30.425,29.481,25.0,25.0,31.695,32.432,29.136,26.205,34.058,33.571,48.98,35.835,31.296,34.3,44.66,35.024,32.143,27.981,34.673,28.502,39.007,29.688,30.663,30.024,34.752,35.545,34.936,41.398,41.398,29.009,27.035,39.333,32.227,40.268,37.45,32.787,31.034,29.493,25.118,29.263,28.7,31.579,30.184,26.126,20.0,62.121,,73.316,71.883,45.897,43.333,37.433,36.364,45.455,35.233,36.01,37.306,38.342,37.047,41.379
OR100,0.0,37.371,35.096,35.496,35.484,39.13,35.274,35.274,34.739,35.236,36.765,35.079,36.476,34.739,23.65,35.98,34.336,37.5,33.747,34.243,35.236,33.499,35.135,35.98,35.98,35.98,35.98,21.608,25.187,24.5,18.717,28.429,23.864,25.935,26.683,25.187,25.187,29.177,21.429,28.678,28.678,26.933,26.933,26.933,26.933,27.93,25.189,27.681,26.185,6.393,20.596,20.596,21.762,22.139,23.632,21.891,21.891,19.9,22.637,21.092,17.513,21.092,21.588,18.61,19.603,9.231,0.0,22.084,22.084,21.891,38.686,21.144,19.403,4.762,19.154,19.154,14.925,19.9,14.677,18.905,13.433,5.82,19.154,7.389,19.835,19.652,35.036,34.25,36.5,38.462,37.469,34.406,34.653,34.158,43.784,35.589,34.663,35.411,32.668,37.668,37.668,33.333,33.624,33.0,35.75,35.443,31.956,32.75,31.742,38.462,37.594,38.065,36.16,37.406,28.657,25.495,29.024,27.473,26.699,27.67,25.485,35.338,26.829,26.506,26.829,27.073,27.644,29.117,30.0,24.948,29.63,28.62,31.765,30.353,26.38,26.38,31.051,32.763,30.958,29.079,33.735,33.254,51.515,35.266,31.22,35.181,48.309,36.145,34.628,29.782,40.0,30.12,42.958,29.621,31.492,32.783,36.557,38.061,38.019,44.92,44.92,31.294,29.855,44.371,33.333,44.667,37.849,33.333,32.302,29.885,25.296,30.575,29.978,33.77,30.805,26.292,15.0,60.859,73.316,,98.408,46.803,45.013,37.067,38.406,48.12,34.884,35.401,38.501,38.501,37.468,42.366
OR103,0.0,37.371,36.181,35.496,36.203,42.857,36.268,36.268,35.443,35.949,38.265,35.829,37.215,35.443,24.147,36.709,35.038,38.672,34.43,34.937,35.949,34.177,39.394,36.709,36.709,36.709,36.709,22.513,25.7,25.0,19.553,29.008,24.609,26.463,27.226,25.7,25.7,29.771,22.0,29.262,29.262,27.481,27.481,27.481,27.481,28.499,25.707,28.244,26.718,6.635,21.013,21.013,22.222,22.589,24.112,22.335,22.335,20.305,23.096,21.519,17.876,21.519,22.025,18.987,20.0,9.424,0.0,22.532,22.532,22.335,39.848,21.574,19.797,4.972,19.543,19.543,15.385,20.305,14.975,19.289,13.846,6.077,19.543,7.692,20.282,20.051,35.036,33.504,36.061,38.168,37.15,33.673,34.184,33.673,43.353,34.694,34.184,34.949,32.143,36.279,36.279,34.749,35.349,32.398,34.949,34.416,30.986,31.888,31.742,37.563,37.692,37.671,36.224,37.15,28.657,25.065,28.678,27.042,26.733,27.792,25.558,35.484,26.683,26.355,26.683,26.933,27.206,29.095,30.073,25.16,28.374,27.336,31.415,29.976,25.78,25.78,30.25,32.0,30.576,29.31,33.086,32.603,50.562,34.815,30.673,34.815,48.223,35.802,33.555,29.208,38.743,29.208,41.221,29.452,31.492,32.126,36.165,37.621,37.417,44.318,44.318,30.508,28.955,43.262,32.688,43.571,37.849,33.333,31.915,29.577,24.879,30.047,29.452,33.108,30.282,26.995,0.0,63.926,71.883,98.408,,46.194,44.357,37.363,37.453,46.774,34.127,34.656,37.831,37.831,36.772,41.502
OR115,0.0,38.421,38.346,40.157,35.606,39.785,36.934,36.934,37.626,37.626,36.634,37.867,38.636,36.364,23.238,37.626,35.459,37.023,36.869,36.111,37.121,36.869,34.667,36.364,36.616,36.616,36.616,17.259,25.127,26.396,18.378,28.934,22.519,28.68,27.411,28.68,29.949,25.635,22.039,26.396,26.396,24.619,24.619,23.604,23.604,25.381,23.077,26.65,25.888,7.834,17.884,17.884,20.789,21.465,22.475,22.222,22.222,20.707,21.465,22.67,18.974,22.67,22.418,22.67,21.662,9.399,0.0,22.922,22.418,23.99,38.889,22.98,23.485,3.743,22.98,22.98,16.541,20.96,18.228,21.97,14.662,4.813,21.465,8.458,18.942,23.485,36.567,37.245,38.52,37.975,37.722,37.31,37.563,38.579,48.603,38.619,38.422,38.168,36.132,36.53,36.53,35.094,33.484,36.061,38.776,38.065,35.574,34.184,32.092,37.215,40.921,45.455,37.405,38.384,27.273,27.806,31.188,31.564,30.049,29.803,27.34,31.061,30.941,30.562,29.95,29.208,27.053,28.606,28.606,28.931,30.405,30.068,32.692,31.731,29.072,29.072,34.653,36.634,33.416,26.866,33.496,33.012,52.041,36.275,32.09,33.985,46.305,34.474,33.775,32.108,39.796,29.412,38.571,30.023,28.571,32.057,32.933,34.375,34.641,40.659,40.659,30.695,27.859,40.0,30.216,40.94,43.265,28.889,32.759,29.099,24.94,30.023,29.438,32.343,28.868,26.728,36.364,46.134,45.897,46.803,46.194,,77.487,40.97,45.387,50.758,46.335,44.503,45.288,46.335,44.764,49.416
OR161,0.0,38.107,37.53,38.868,37.101,36.559,38.408,38.408,36.473,36.473,38.235,37.401,38.499,35.593,23.25,37.53,35.941,37.5,35.749,35.61,37.44,36.473,34.667,35.99,36.232,36.232,36.232,19.095,28.109,27.363,19.251,29.851,25.758,30.348,29.04,29.798,29.798,27.068,23.856,26.566,26.566,26.316,26.316,26.316,26.316,27.82,25.57,27.82,27.068,10.046,20.149,20.149,21.204,22.111,21.608,20.603,20.603,21.182,21.235,21.0,18.066,20.75,21.0,21.513,20.991,9.701,0.0,21.25,20.5,23.21,38.903,21.235,22.716,4.762,22.222,22.222,16.418,21.554,18.564,21.728,14.179,5.291,22.469,8.867,20.222,23.951,36.765,38.579,38.832,36.272,36.139,37.783,35.606,37.121,43.646,38.168,36.709,37.722,36.203,33.032,33.032,32.21,29.596,34.772,36.203,36.538,33.983,32.178,31.054,38.539,38.422,41.558,37.028,37.531,26.727,26.329,31.695,33.889,27.384,27.384,24.694,30.303,28.501,28.155,29.73,28.501,26.812,27.273,25.598,27.403,31.081,31.419,29.577,30.047,28.98,28.98,33.415,35.381,32.53,28.692,32.394,31.944,48.98,32.938,29.087,33.173,42.439,31.01,32.459,29.358,37.374,29.268,40.0,28.355,28.647,31.364,32.11,32.798,34.091,38.043,38.043,30.892,27.697,39.333,28.833,40.268,41.313,28.866,33.793,31.236,26.852,30.337,29.54,32.013,29.888,27.803,36.364,43.077,43.333,45.013,44.357,77.487,,38.77,45.62,48.485,42.078,42.078,43.377,41.558,41.039,46.538
OR196,0.0,31.622,31.026,32.51,28.424,33.684,29.553,29.553,30.233,29.974,29.902,29.396,29.716,26.357,18.649,29.716,28.982,28.788,29.199,32.041,30.491,30.749,32.468,30.491,29.716,29.716,29.716,14.07,22.078,21.299,14.439,22.338,16.288,21.039,22.857,22.857,21.818,25.455,19.544,22.857,22.857,23.896,23.896,23.298,23.298,23.896,22.751,23.377,23.636,9.259,17.188,17.188,19.11,18.799,18.016,19.06,19.06,19.843,17.493,18.75,16.267,17.708,17.708,18.229,18.49,7.629,0.0,18.49,18.75,18.799,34.197,18.016,15.927,5.914,15.927,15.927,15.094,19.06,13.577,16.971,13.962,6.989,18.016,9.0,18.106,18.277,32.09,31.234,33.333,33.333,32.813,30.548,33.159,31.593,36.667,31.842,31.152,31.937,30.366,27.854,27.854,30.827,26.577,31.926,33.684,34.084,34.637,33.684,34.718,34.115,32.105,30.968,33.77,33.247,29.26,23.467,26.357,27.731,24.422,25.45,23.393,30.0,26.357,26.02,27.132,27.649,25.75,28.07,27.5,24.784,30.64,31.313,25.185,24.444,23.679,23.679,28.165,28.682,29.275,24.508,24.112,23.75,38.384,27.595,24.742,28.68,34.804,27.02,28.618,26.65,32.995,24.938,28.873,26.45,25.364,28.148,27.475,27.723,28.803,30.435,30.435,28.148,21.637,30.464,26.98,31.333,30.603,28.743,30.556,28.846,25.693,27.885,27.103,30.897,28.846,26.506,16.667,34.946,37.433,37.067,37.363,40.97,38.77,,47.547,47.692,43.802,42.149,42.7,43.526,44.628,48.81
OR155,0.0,39.326,36.842,29.078,31.915,40.217,35.461,35.461,35.461,33.688,39.801,34.752,34.043,30.496,29.562,34.752,34.752,35.249,35.461,36.525,35.106,34.752,39.189,34.752,35.106,35.106,35.106,15.816,20.714,22.143,17.391,21.429,19.157,20.357,21.429,21.429,21.429,21.429,18.638,20.357,20.357,22.5,22.5,19.495,19.495,21.786,21.786,21.786,22.857,7.981,14.079,14.079,15.523,14.44,15.162,15.523,15.523,13.718,15.523,12.635,11.481,12.635,12.635,12.996,12.996,0.0,0.0,13.718,14.801,14.079,40.714,15.162,15.523,6.011,14.801,14.801,17.176,17.69,10.469,16.245,15.649,6.557,17.329,10.66,15.523,14.44,33.582,35.252,36.691,36.071,35.0,34.892,37.05,37.05,40.678,36.823,36.201,35.484,32.258,33.945,34.404,36.122,33.333,35.507,38.267,37.184,37.184,36.823,38.034,34.52,36.691,40.909,35.842,39.007,31.553,28.253,31.317,32.384,26.148,26.855,24.382,31.008,27.402,26.923,29.893,29.537,30.169,32.082,32.765,29.429,30.743,31.419,32.18,31.834,24.863,24.863,33.688,36.525,33.096,28.94,33.922,33.922,49.485,34.035,34.035,36.042,45.05,34.737,34.843,33.808,38.776,34.483,40.288,33.856,35.776,35.862,33.793,36.207,35.172,38.674,38.674,38.832,29.412,42.282,37.801,43.243,36.567,18.841,37.282,35.43,29.682,35.762,35.762,36.12,34.106,31.126,30.0,39.194,36.364,38.406,37.453,45.387,45.62,47.547,,90.698,68.561,68.561,68.561,68.561,67.803,68.526
OR156,0.0,44.538,43.066,0.0,36.567,38.043,40.299,40.299,42.537,38.06,40.299,40.299,39.552,39.552,41.045,41.045,41.045,41.045,39.552,40.299,41.791,40.299,37.838,41.045,41.045,41.045,41.045,6.061,9.091,9.091,9.091,8.333,7.576,8.333,10.606,11.364,11.364,9.848,10.606,9.091,9.091,10.606,10.606,3.876,3.876,9.091,9.091,9.091,9.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.667,40.909,42.424,44.697,44.697,42.424,41.667,41.667,41.667,43.846,41.667,41.667,33.333,38.168,38.931,39.394,39.394,40.458,43.511,41.985,41.221,40.458,44.318,46.212,44.697,41.667,39.394,42.748,26.316,40.31,40.31,41.085,37.405,37.405,32.824,31.008,37.984,36.567,39.535,39.535,39.695,40.909,43.182,36.364,36.641,38.168,38.168,35.878,36.641,36.641,40.909,44.697,44.615,39.286,43.939,43.939,46.392,47.727,47.727,46.923,46.97,46.212,42.748,40.152,42.424,40.909,41.667,39.474,44.595,43.182,41.667,43.182,42.424,42.424,42.424,46.212,46.212,45.455,45.455,45.455,0.0,0.0,46.512,46.512,36.434,46.512,46.512,46.512,42.636,37.984,30.0,43.609,45.455,48.12,46.774,50.758,48.485,47.692,90.698,,72.868,74.419,75.194,73.643,73.643,74.419
OR148,0.0,31.152,29.75,25.391,28.967,34.783,32.639,32.639,28.715,27.96,34.328,28.836,29.975,27.708,20.0,28.463,27.226,30.651,30.227,28.463,28.715,29.219,33.784,28.715,27.708,27.708,27.708,17.347,21.266,19.747,16.304,22.532,19.157,23.038,23.291,21.519,22.785,24.81,19.408,23.291,23.291,24.051,24.051,21.684,21.684,23.291,21.483,22.785,23.291,8.92,17.766,17.766,18.206,19.084,18.321,17.557,17.557,17.303,18.83,18.274,17.313,18.782,18.782,18.782,19.797,8.707,0.0,19.797,19.543,19.338,34.343,17.812,19.847,6.557,20.611,20.611,17.176,20.865,15.522,18.575,14.885,7.104,20.611,12.183,17.697,19.593,32.836,31.043,34.097,32.405,31.646,31.298,32.316,32.316,41.243,32.398,32.995,32.234,29.949,33.945,34.404,36.122,34.703,34.783,34.694,37.419,33.613,32.143,33.238,35.101,32.398,38.312,33.756,31.99,29.846,27.062,28.5,28.09,28.109,28.358,26.119,32.558,28.75,28.395,28.25,29.0,25.121,28.571,29.056,30.38,28.716,29.73,32.374,31.655,25.567,25.567,31.592,32.587,29.397,25.91,28.889,28.467,42.268,30.713,28.288,30.617,37.129,28.747,33.003,32.02,37.755,28.747,39.568,31.973,33.427,32.933,34.3,35.266,35.294,41.436,41.436,31.566,30.0,42.953,33.012,44.595,31.837,21.111,32.404,29.907,26.406,30.14,29.318,34.667,28.972,26.869,40.0,36.719,35.233,34.884,34.127,46.335,42.078,43.802,68.561,72.868,,85.867,77.867,78.933,79.733,81.673
